ID_CORRELATIVO,TIPO_REQUERIMIENTO2,DICTAMEN,CODMES,PRODUCTO_SERVICIO_2,SUBMOTIVO_2
0023439,Solicitud,NO PROCEDE,201205,Producto 20,Submotivo 157
0061330,Reclamo,PROCEDE TOTAL,201205,Producto 05,Submotivo 125
0032698,Solicitud,PROCEDE TOTAL,201205,Producto 20,Submotivo 132
0032698,Solicitud,PROCEDE TOTAL,201205,Producto 20,Submotivo 132
0000553,Solicitud,NO PROCEDE,201206,Producto 20,Submotivo 157
0000553,Reclamo,PROCEDE TOTAL,201206,Producto 20,Submotivo 125
0000553,Reclamo,NO PROCEDE,201203,Producto 20,Submotivo 125
0029206,Solicitud,PROCEDE TOTAL,201203,Producto 20,Submotivo 144
0040852,Reclamo,PROCEDE TOTAL,201204,Producto 22,Submotivo 125
0048572,Reclamo,NO PROCEDE,201208,Producto 20,Submotivo 125
0062569,Solicitud,NO PROCEDE,201205,Producto 20,Submotivo 157
0054274,Solicitud,PROCEDE TOTAL,201208,Producto 20,Submotivo 144
0054274,Solicitud,PROCEDE TOTAL,201208,Producto 20,Submotivo 132
0054274,Reclamo,PROCEDE TOTAL,201208,Producto 18,Submotivo 125
0054274,Solicitud,PROCEDE TOTAL,201206,Producto 20,Submotivo 132
0054274,Reclamo,PROCEDE TOTAL,201206,Producto 18,Submotivo 125
0054274,Solicitud,PROCEDE TOTAL,201205,Producto 20,Submotivo 132
0054274,Solicitud,PROCEDE TOTAL,201205,Producto 20,Submotivo 132
0054274,Solicitud,PROCEDE TOTAL,201203,Producto 20,Submotivo 132
0092860,Reclamo,PROCEDE TOTAL,201203,Producto 21,Submotivo 39
0089549,Reclamo,NO PROCEDE,201204,Producto 20,Submotivo 125
0013934,Reclamo,PROCEDE TOTAL,201207,Producto 07,Submotivo 140
0091676,Reclamo,NO PROCEDE,201207,Producto 20,Submotivo 156
0088087,Solicitud,PROCEDE TOTAL,201206,Producto 07,Submotivo 144
0047260,Solicitud,PROCEDE TOTAL,201207,Producto 07,Submotivo 144
0059866,Solicitud,PROCEDE TOTAL,201206,Producto 07,Submotivo 144
0096584,Reclamo,PROCEDE TOTAL,201207,Producto 01,Submotivo 07
0033061,Solicitud,NO PROCEDE,201208,Producto 20,Submotivo 132
0033061,Reclamo,PROCEDE TOTAL,201203,Producto 21,Submotivo 125
0033111,Solicitud,PROCEDE TOTAL,201206,Producto 07,Submotivo 144
0041656,Reclamo,NO PROCEDE,201204,Producto 07,Submotivo 125
0097150,Reclamo,PROCEDE PARCIAL,201206,Producto 20,Submotivo 125
0024736,Reclamo,NO PROCEDE,201205,Producto 20,Submotivo 125
0024736,Solicitud,NO PROCEDE,201204,Producto 20,Submotivo 157
0045900,Reclamo,NO PROCEDE,201206,Producto 17,Submotivo 89
0045900,Reclamo,NO PROCEDE,201206,Producto 17,Submotivo 89
0034671,Solicitud,PROCEDE TOTAL,201206,Producto 20,Submotivo 132
0034671,Reclamo,PROCEDE TOTAL,201204,Producto 18,Submotivo 125
0034671,Solicitud,PROCEDE TOTAL,201203,Producto 20,Submotivo 132
0034671,Solicitud,PROCEDE TOTAL,201203,Producto 20,Submotivo 157
0036857,Reclamo,NO PROCEDE,201207,Producto 20,Submotivo 125
0038822,Solicitud,PROCEDE TOTAL,201203,Producto 20,Submotivo 144
0055010,Solicitud,PROCEDE TOTAL,201204,Producto 20,Submotivo 157
0030887,Reclamo,NO PROCEDE,201208,Producto 18,Submotivo 125
0046530,Reclamo,NO PROCEDE,201206,Producto 07,Submotivo 125
0046530,Reclamo,NO PROCEDE,201205,Producto 20,Submotivo 43
0085155,Solicitud,PROCEDE TOTAL,201206,Producto 20,Submotivo 157
0075412,Reclamo,NO PROCEDE,201208,Producto 21,Submotivo 125
0018158,Reclamo,PROCEDE TOTAL,201207,Producto 01,Submotivo 125
0098813,Solicitud,PROCEDE TOTAL,201208,Producto 07,Submotivo 144
0029685,Solicitud,NO PROCEDE,201203,Producto 20,Submotivo 157
0020122,Reclamo,PROCEDE TOTAL,201205,Producto 20,Submotivo 125
0020122,Reclamo,PROCEDE PARCIAL,201205,Producto 20,Submotivo 125
0085631,Reclamo,NO PROCEDE,201206,Producto 17,Submotivo 30
0085631,Reclamo,NO PROCEDE,201203,Producto 17,Submotivo 30
0041933,Reclamo,PROCEDE TOTAL,201205,Producto 21,Submotivo 87
0041933,Reclamo,PROCEDE TOTAL,201205,Producto 21,Submotivo 88
0041933,Reclamo,PROCEDE TOTAL,201204,Producto 21,Submotivo 88
0089450,Solicitud,NO PROCEDE,201206,Producto 20,Submotivo 157
0070344,Reclamo,PROCEDE TOTAL,201204,Producto 01,Submotivo 125
0017525,Reclamo,PROCEDE PARCIAL,201203,Producto 18,Submotivo 67
0033554,Reclamo,PROCEDE TOTAL,201207,Producto 05,Submotivo 125
0041108,Reclamo,PROCEDE TOTAL,201204,Producto 17,Submotivo 89
0016469,Reclamo,NO PROCEDE,201207,Producto 17,Submotivo 89
0050642,Reclamo,NO PROCEDE,201207,Producto 20,Submotivo 59
0002039,Reclamo,PROCEDE TOTAL,201204,Producto 20,Submotivo 40
0002009,Solicitud,PROCEDE TOTAL,201207,Producto 07,Submotivo 144
0014205,Solicitud,NO PROCEDE,201208,Producto 20,Submotivo 157
0087507,Reclamo,PROCEDE TOTAL,201207,Producto 20,Submotivo 142
0087507,Reclamo,NO PROCEDE,201206,Producto 20,Submotivo 125
0034523,Solicitud,PROCEDE TOTAL,201203,Producto 20,Submotivo 132
0046663,Reclamo,PROCEDE TOTAL,201207,Producto 07,Submotivo 141
0046663,Reclamo,PROCEDE TOTAL,201207,Producto 21,Submotivo 156
0034050,Reclamo,NO PROCEDE,201205,Producto 07,Submotivo 125
0034050,Reclamo,NO PROCEDE,201205,Producto 07,Submotivo 125
0037612,Reclamo,NO PROCEDE,201208,Producto 01,Submotivo 125
0062660,Reclamo,PROCEDE TOTAL,201208,Producto 21,Submotivo 88
0061388,Reclamo,NO PROCEDE,201208,Producto 07,Submotivo 125
0061388,Reclamo,NO PROCEDE,201204,Producto 07,Submotivo 125
0056510,Reclamo,PROCEDE PARCIAL,201204,Producto 18,Submotivo 66
0014393,Reclamo,NO PROCEDE,201205,Producto 17,Submotivo 91
0014393,Reclamo,NO PROCEDE,201205,Producto 17,Submotivo 89
0026210,Solicitud,NO PROCEDE,201205,Producto 20,Submotivo 157
0049984,Solicitud,PROCEDE TOTAL,201205,Producto 07,Submotivo 144
0068977,Solicitud,NO PROCEDE,201203,Producto 20,Submotivo 144
0068977,Reclamo,PROCEDE TOTAL,201203,Producto 20,Submotivo 125
0009231,Reclamo,NO PROCEDE,201204,Producto 20,Submotivo 125
0049451,Solicitud,PROCEDE TOTAL,201205,Producto 20,Submotivo 132
0009221,Reclamo,NO PROCEDE,201208,Producto 17,Submotivo 95
0009221,Reclamo,NO PROCEDE,201207,Producto 17,Submotivo 95
0009221,Reclamo,NO PROCEDE,201207,Producto 17,Submotivo 92
0009221,Reclamo,PROCEDE TOTAL,201207,Producto 17,Submotivo 89
0028744,Solicitud,PROCEDE TOTAL,201206,Producto 07,Submotivo 144
0065954,Reclamo,NO PROCEDE,201206,Producto 20,Submotivo 125
0020011,Reclamo,PROCEDE TOTAL,201205,Producto 20,Submotivo 125
0079916,Solicitud,PROCEDE TOTAL,201203,Producto 07,Submotivo 130
0022692,Solicitud,PROCEDE TOTAL,201208,Producto 07,Submotivo 144
0022692,Reclamo,NO PROCEDE,201208,Producto 21,Submotivo 88
0095814,Reclamo,PROCEDE TOTAL,201207,Producto 20,Submotivo 125
0059709,Reclamo,NO PROCEDE,201207,Producto 18,Submotivo 05
0059709,Reclamo,NO PROCEDE,201207,Producto 18,Submotivo 05
0059709,Reclamo,NO PROCEDE,201207,Producto 18,Submotivo 05
0000684,Solicitud,NO PROCEDE,201204,Producto 20,Submotivo 157
0092213,Solicitud,PROCEDE TOTAL,201205,Producto 20,Submotivo 157
0092213,Solicitud,NO PROCEDE,201205,Producto 20,Submotivo 157
0022774,Solicitud,PROCEDE TOTAL,201205,Producto 07,Submotivo 144
0013077,Reclamo,NO PROCEDE,201208,Producto 18,Submotivo 67
0056252,Reclamo,PROCEDE TOTAL,201207,Producto 07,Submotivo 125
0071870,Solicitud,PROCEDE TOTAL,201203,Producto 20,Submotivo 144
0019260,Reclamo,NO PROCEDE,201208,Producto 01,Submotivo 146
0019260,Reclamo,NO PROCEDE,201208,Producto 01,Submotivo 146
0078736,Solicitud,PROCEDE TOTAL,201208,Producto 07,Submotivo 144
0057343,Reclamo,PROCEDE TOTAL,201208,Producto 17,Submotivo 89
0057343,Reclamo,PROCEDE TOTAL,201204,Producto 07,Submotivo 125
0030698,Solicitud,PROCEDE TOTAL,201207,Producto 20,Submotivo 132
0030698,Solicitud,PROCEDE TOTAL,201207,Producto 20,Submotivo 132
0030698,Solicitud,PROCEDE TOTAL,201207,Producto 20,Submotivo 132
0030698,Solicitud,PROCEDE TOTAL,201207,Producto 20,Submotivo 132
0030698,Reclamo,PROCEDE PARCIAL,201207,Producto 18,Submotivo 125
0030698,Reclamo,PROCEDE PARCIAL,201207,Producto 18,Submotivo 125
0030698,Reclamo,PROCEDE TOTAL,201207,Producto 18,Submotivo 125
0087300,Reclamo,NO PROCEDE,201206,Producto 20,Submotivo 125
0082188,Reclamo,PROCEDE TOTAL,201205,Producto 07,Submotivo 125
0097960,Reclamo,PROCEDE TOTAL,201205,Producto 20,Submotivo 125
0046065,Solicitud,PROCEDE TOTAL,201206,Producto 07,Submotivo 144
0084865,Reclamo,PROCEDE TOTAL,201205,Producto 21,Submotivo 39
0002861,Solicitud,PROCEDE TOTAL,201208,Producto 20,Submotivo 130
0002861,Reclamo,PROCEDE TOTAL,201208,Producto 18,Submotivo 125
0002861,Solicitud,PROCEDE TOTAL,201207,Producto 20,Submotivo 132
0002861,Reclamo,PROCEDE PARCIAL,201207,Producto 18,Submotivo 125
0002861,Solicitud,PROCEDE TOTAL,201206,Producto 20,Submotivo 132
0002861,Reclamo,PROCEDE PARCIAL,201206,Producto 18,Submotivo 125
0045236,Reclamo,PROCEDE TOTAL,201205,Producto 07,Submotivo 27
0065031,Reclamo,PROCEDE TOTAL,201207,Producto 07,Submotivo 27
0097793,Reclamo,PROCEDE PARCIAL,201207,Producto 18,Submotivo 68
0074366,Solicitud,PROCEDE TOTAL,201203,Producto 20,Submotivo 132
0038712,Solicitud,PROCEDE TOTAL,201207,Producto 20,Submotivo 132
0038712,Reclamo,NO PROCEDE,201207,Producto 18,Submotivo 125
0038712,Reclamo,NO PROCEDE,201206,Producto 20,Submotivo 125
0038712,Reclamo,NO PROCEDE,201206,Producto 20,Submotivo 125
0098417,Solicitud,PROCEDE TOTAL,201207,Producto 07,Submotivo 144
0044243,Reclamo,NO PROCEDE,201204,Producto 20,Submotivo 43
0051978,Reclamo,PROCEDE TOTAL,201207,Producto 21,Submotivo 88
0053752,Reclamo,NO PROCEDE,201205,Producto 20,Submotivo 125
0062106,Reclamo,PROCEDE TOTAL,201208,Producto 18,Submotivo 66
0062106,Reclamo,NO PROCEDE,201208,Producto 05,Submotivo 125
0028413,Reclamo,NO PROCEDE,201208,Producto 20,Submotivo 125
0028413,Reclamo,NO PROCEDE,201207,Producto 20,Submotivo 125
0028413,Reclamo,NO PROCEDE,201207,Producto 20,Submotivo 125
0091610,Reclamo,PROCEDE TOTAL,201204,Producto 21,Submotivo 150
0054442,Reclamo,NO PROCEDE,201205,Producto 18,Submotivo 125
0054442,Reclamo,NO PROCEDE,201205,Producto 06,Submotivo 125
0054442,Reclamo,NO PROCEDE,201204,Producto 06,Submotivo 125
0042615,Solicitud,PROCEDE TOTAL,201206,Producto 20,Submotivo 132
0042615,Reclamo,PROCEDE TOTAL,201206,Producto 18,Submotivo 125
0042615,Reclamo,PROCEDE TOTAL,201206,Producto 20,Submotivo 43
0062696,Reclamo,PROCEDE TOTAL,201205,Producto 07,Submotivo 63
0034886,Reclamo,NO PROCEDE,201207,Producto 20,Submotivo 125
0084789,Reclamo,NO PROCEDE,201207,Producto 17,Submotivo 111
0059865,Reclamo,NO PROCEDE,201204,Producto 17,Submotivo 109
0095578,Reclamo,NO PROCEDE,201206,Producto 05,Submotivo 125
0045054,Solicitud,NO PROCEDE,201204,Producto 20,Submotivo 157
0023111,Reclamo,PROCEDE TOTAL,201208,Producto 20,Submotivo 125
0008700,Reclamo,PROCEDE TOTAL,201206,Producto 05,Submotivo 125
0042719,Reclamo,PROCEDE PARCIAL,201208,Producto 20,Submotivo 125
0070446,Solicitud,PROCEDE TOTAL,201207,Producto 07,Submotivo 144
0031483,Reclamo,PROCEDE TOTAL,201206,Producto 07,Submotivo 125
0082898,Reclamo,PROCEDE TOTAL,201208,Producto 07,Submotivo 141
0019515,Reclamo,NO PROCEDE,201207,Producto 20,Submotivo 88
0019515,Reclamo,NO PROCEDE,201207,Producto 20,Submotivo 88
0018762,Reclamo,NO PROCEDE,201205,Producto 20,Submotivo 43
0018762,Reclamo,PROCEDE TOTAL,201203,Producto 20,Submotivo 125
0066119,Reclamo,NO PROCEDE,201205,Producto 06,Submotivo 125
0036907,Reclamo,NO PROCEDE,201206,Producto 10,Submotivo 125
0078286,Solicitud,PROCEDE TOTAL,201204,Producto 07,Submotivo 144
0093379,Reclamo,PROCEDE TOTAL,201203,Producto 21,Submotivo 125
0091552,Reclamo,NO PROCEDE,201208,Producto 21,Submotivo 88
0010552,Solicitud,PROCEDE TOTAL,201207,Producto 20,Submotivo 144
0010552,Solicitud,NO PROCEDE,201207,Producto 20,Submotivo 157
0046361,Reclamo,NO PROCEDE,201207,Producto 18,Submotivo 66
0038746,Solicitud,NO PROCEDE,201207,Producto 20,Submotivo 157
0097079,Reclamo,NO PROCEDE,201206,Producto 05,Submotivo 125
0097646,Solicitud,PROCEDE TOTAL,201207,Producto 20,Submotivo 132
0097646,Reclamo,PROCEDE PARCIAL,201207,Producto 18,Submotivo 125
0097646,Reclamo,PROCEDE TOTAL,201207,Producto 07,Submotivo 27
0012135,Reclamo,PROCEDE TOTAL,201204,Producto 17,Submotivo 89
0047943,Reclamo,PROCEDE PARCIAL,201205,Producto 18,Submotivo 125
0011982,Reclamo,NO PROCEDE,201204,Producto 20,Submotivo 125
0011982,Reclamo,NO PROCEDE,201204,Producto 20,Submotivo 125
0032653,Reclamo,NO PROCEDE,201206,Producto 20,Submotivo 145
0070844,Solicitud,PROCEDE TOTAL,201206,Producto 07,Submotivo 144
0070844,Reclamo,PROCEDE TOTAL,201206,Producto 07,Submotivo 125
0021745,Reclamo,NO PROCEDE,201206,Producto 01,Submotivo 146
0081348,Solicitud,NO PROCEDE,201208,Producto 20,Submotivo 157
0093621,Reclamo,PROCEDE TOTAL,201203,Producto 21,Submotivo 88
0032275,Reclamo,NO PROCEDE,201208,Producto 07,Submotivo 27
0047682,Reclamo,NO PROCEDE,201205,Producto 20,Submotivo 43
0047283,Solicitud,PROCEDE TOTAL,201205,Producto 20,Submotivo 132
0005605,Solicitud,NO PROCEDE,201206,Producto 20,Submotivo 157
0076507,Reclamo,PROCEDE TOTAL,201207,Producto 17,Submotivo 89
0085399,Reclamo,NO PROCEDE,201204,Producto 20,Submotivo 125
0006316,Reclamo,PROCEDE TOTAL,201205,Producto 20,Submotivo 125
0059641,Reclamo,PROCEDE TOTAL,201207,Producto 20,Submotivo 145
0083547,Reclamo,NO PROCEDE,201206,Producto 20,Submotivo 125
0098951,Solicitud,PROCEDE TOTAL,201208,Producto 07,Submotivo 132
0098951,Solicitud,PROCEDE TOTAL,201206,Producto 07,Submotivo 132
0028608,Reclamo,PROCEDE TOTAL,201207,Producto 20,Submotivo 125
0093292,Reclamo,NO PROCEDE,201207,Producto 20,Submotivo 43
0030242,Reclamo,NO PROCEDE,201207,Producto 18,Submotivo 125
0030242,Reclamo,NO PROCEDE,201205,Producto 18,Submotivo 125
0031702,Reclamo,NO PROCEDE,201208,Producto 20,Submotivo 88
0001944,Reclamo,PROCEDE TOTAL,201206,Producto 17,Submotivo 89
0000736,Reclamo,NO PROCEDE,201208,Producto 07,Submotivo 125
0061523,Reclamo,NO PROCEDE,201208,Producto 20,Submotivo 125
0061523,Reclamo,PROCEDE TOTAL,201208,Producto 20,Submotivo 125
0022012,Solicitud,NO PROCEDE,201204,Producto 20,Submotivo 157
0051210,Solicitud,PROCEDE TOTAL,201203,Producto 07,Submotivo 144
0022308,Solicitud,PROCEDE TOTAL,201204,Producto 07,Submotivo 144
0050186,Solicitud,NO PROCEDE,201206,Producto 20,Submotivo 157
0026547,Reclamo,NO PROCEDE,201208,Producto 17,Submotivo 95
0073902,Reclamo,NO PROCEDE,201206,Producto 20,Submotivo 43
0020172,Reclamo,NO PROCEDE,201205,Producto 18,Submotivo 67
0052782,Reclamo,PROCEDE TOTAL,201205,Producto 20,Submotivo 156
0069356,Solicitud,PROCEDE TOTAL,201207,Producto 20,Submotivo 132
0069356,Reclamo,PROCEDE PARCIAL,201207,Producto 18,Submotivo 125
0069356,Reclamo,NO PROCEDE,201207,Producto 20,Submotivo 145
0073886,Reclamo,PROCEDE TOTAL,201205,Producto 20,Submotivo 125
0090281,Solicitud,NO PROCEDE,201208,Producto 20,Submotivo 157
0033776,Solicitud,NO PROCEDE,201206,Producto 20,Submotivo 157
0032470,Solicitud,PROCEDE TOTAL,201207,Producto 20,Submotivo 144
0032470,Reclamo,PROCEDE TOTAL,201207,Producto 17,Submotivo 90
0040294,Reclamo,PROCEDE TOTAL,201205,Producto 07,Submotivo 27
0006983,Reclamo,PROCEDE TOTAL,201207,Producto 17,Submotivo 89
0006983,Solicitud,PROCEDE PARCIAL,201203,Producto 20,Submotivo 157
0012433,Reclamo,PROCEDE TOTAL,201205,Producto 21,Submotivo 88
0035247,Reclamo,NO PROCEDE,201204,Producto 07,Submotivo 125
0023429,Solicitud,PROCEDE TOTAL,201203,Producto 20,Submotivo 132
0082227,Solicitud,PROCEDE TOTAL,201208,Producto 20,Submotivo 132
0082227,Reclamo,PROCEDE TOTAL,201208,Producto 18,Submotivo 125
0048986,Reclamo,NO PROCEDE,201205,Producto 18,Submotivo 125
0026595,Reclamo,PROCEDE TOTAL,201208,Producto 07,Submotivo 125
0017088,Reclamo,NO PROCEDE,201208,Producto 20,Submotivo 125
0017088,Solicitud,NO PROCEDE,201205,Producto 20,Submotivo 157
0050851,Reclamo,NO PROCEDE,201207,Producto 21,Submotivo 156
0043096,Solicitud,PROCEDE TOTAL,201207,Producto 20,Submotivo 132
0043096,Reclamo,PROCEDE TOTAL,201207,Producto 18,Submotivo 125
0043096,Reclamo,PROCEDE TOTAL,201207,Producto 20,Submotivo 125
0043096,Solicitud,PROCEDE TOTAL,201206,Producto 20,Submotivo 132
0043096,Reclamo,PROCEDE TOTAL,201206,Producto 18,Submotivo 125
0058053,Reclamo,PROCEDE TOTAL,201208,Producto 20,Submotivo 142
0095680,Solicitud,PROCEDE TOTAL,201203,Producto 20,Submotivo 132
0061294,Reclamo,NO PROCEDE,201205,Producto 07,Submotivo 125
0088575,Reclamo,NO PROCEDE,201206,Producto 07,Submotivo 125
0039654,Solicitud,NO PROCEDE,201206,Producto 20,Submotivo 157
0097071,Reclamo,PROCEDE TOTAL,201206,Producto 01,Submotivo 125
0098793,Reclamo,PROCEDE TOTAL,201204,Producto 01,Submotivo 125
0074654,Reclamo,PROCEDE TOTAL,201203,Producto 07,Submotivo 125
0086124,Solicitud,PROCEDE TOTAL,201207,Producto 20,Submotivo 132
0086124,Reclamo,PROCEDE PARCIAL,201207,Producto 18,Submotivo 125
0084929,Reclamo,PROCEDE TOTAL,201205,Producto 18,Submotivo 67
0003220,Reclamo,PROCEDE TOTAL,201205,Producto 20,Submotivo 125
0015443,Solicitud,NO PROCEDE,201208,Producto 20,Submotivo 157
0015443,Reclamo,NO PROCEDE,201207,Producto 20,Submotivo 43
0095021,Reclamo,NO PROCEDE,201205,Producto 07,Submotivo 125
0097204,Solicitud,PROCEDE TOTAL,201208,Producto 07,Submotivo 144
0041752,Solicitud,NO PROCEDE,201207,Producto 20,Submotivo 157
0041752,Reclamo,NO PROCEDE,201207,Producto 20,Submotivo 43
0041752,Reclamo,NO PROCEDE,201207,Producto 20,Submotivo 43
0041752,Reclamo,NO PROCEDE,201205,Producto 20,Submotivo 125
0039413,Reclamo,NO PROCEDE,201203,Producto 17,Submotivo 109
0014021,Solicitud,PROCEDE TOTAL,201206,Producto 20,Submotivo 132
0004123,Reclamo,PROCEDE TOTAL,201208,Producto 07,Submotivo 26
0004123,Reclamo,PROCEDE TOTAL,201207,Producto 07,Submotivo 27
0004123,Solicitud,NO PROCEDE,201205,Producto 20,Submotivo 157
0004123,Solicitud,NO PROCEDE,201204,Producto 20,Submotivo 157
0092893,Reclamo,NO PROCEDE,201203,Producto 20,Submotivo 125
0059356,Reclamo,PROCEDE TOTAL,201208,Producto 01,Submotivo 125
0015532,Reclamo,PROCEDE TOTAL,201203,Producto 18,Submotivo 67
0006976,Solicitud,PROCEDE TOTAL,201205,Producto 20,Submotivo 132
0059729,Reclamo,PROCEDE TOTAL,201207,Producto 01,Submotivo 146
0060030,Reclamo,PROCEDE PARCIAL,201203,Producto 03,Submotivo 125
0020250,Reclamo,NO PROCEDE,201203,Producto 20,Submotivo 125
0010237,Reclamo,PROCEDE TOTAL,201206,Producto 20,Submotivo 125
0045273,Solicitud,NO PROCEDE,201207,Producto 20,Submotivo 157
0045273,Reclamo,NO PROCEDE,201207,Producto 18,Submotivo 66
0045273,Reclamo,NO PROCEDE,201206,Producto 20,Submotivo 125
0084422,Reclamo,PROCEDE TOTAL,201205,Producto 20,Submotivo 43
0035682,Reclamo,PROCEDE TOTAL,201207,Producto 18,Submotivo 68
0064780,Solicitud,PROCEDE TOTAL,201207,Producto 07,Submotivo 144
0010572,Solicitud,PROCEDE TOTAL,201205,Producto 07,Submotivo 144
0095104,Reclamo,PROCEDE TOTAL,201204,Producto 21,Submotivo 88
0095104,Reclamo,PROCEDE TOTAL,201204,Producto 21,Submotivo 88
0079737,Reclamo,PROCEDE TOTAL,201206,Producto 20,Submotivo 125
0041484,Reclamo,PROCEDE TOTAL,201206,Producto 17,Submotivo 111
0041484,Reclamo,NO PROCEDE,201206,Producto 17,Submotivo 90
0014182,Reclamo,PROCEDE TOTAL,201207,Producto 17,Submotivo 90
0062209,Reclamo,PROCEDE TOTAL,201208,Producto 20,Submotivo 142
0062209,Reclamo,NO PROCEDE,201208,Producto 20,Submotivo 142
0062209,Reclamo,NO PROCEDE,201207,Producto 20,Submotivo 142
0062209,Reclamo,PROCEDE TOTAL,201206,Producto 18,Submotivo 125
0031244,Reclamo,NO PROCEDE,201206,Producto 20,Submotivo 43
0004561,Reclamo,NO PROCEDE,201206,Producto 18,Submotivo 67
0062071,Solicitud,PROCEDE TOTAL,201203,Producto 07,Submotivo 144
0088743,Reclamo,PROCEDE TOTAL,201207,Producto 21,Submotivo 39
0061954,Reclamo,PROCEDE TOTAL,201208,Producto 07,Submotivo 27
0075660,Solicitud,PROCEDE TOTAL,201204,Producto 07,Submotivo 144
0047846,Reclamo,NO PROCEDE,201205,Producto 07,Submotivo 125
0000682,Reclamo,NO PROCEDE,201204,Producto 04,Submotivo 125
0093253,Reclamo,NO PROCEDE,201205,Producto 18,Submotivo 125
0016411,Solicitud,PROCEDE TOTAL,201206,Producto 07,Submotivo 144
0097639,Solicitud,PROCEDE TOTAL,201206,Producto 07,Submotivo 144
0087712,Solicitud,PROCEDE TOTAL,201205,Producto 20,Submotivo 132
0087712,Solicitud,PROCEDE TOTAL,201204,Producto 20,Submotivo 132
0087712,Reclamo,PROCEDE TOTAL,201204,Producto 18,Submotivo 125
0087712,Reclamo,NO PROCEDE,201204,Producto 18,Submotivo 125
0087712,Solicitud,PROCEDE TOTAL,201203,Producto 20,Submotivo 132
0071271,Solicitud,PROCEDE TOTAL,201208,Producto 07,Submotivo 144
0085570,Reclamo,NO PROCEDE,201203,Producto 07,Submotivo 141
0038717,Reclamo,PROCEDE TOTAL,201207,Producto 21,Submotivo 88
0084447,Solicitud,PROCEDE TOTAL,201207,Producto 20,Submotivo 132
0084447,Reclamo,NO PROCEDE,201207,Producto 07,Submotivo 125
0084447,Reclamo,PROCEDE TOTAL,201205,Producto 21,Submotivo 156
0084447,Reclamo,PROCEDE TOTAL,201205,Producto 07,Submotivo 27
0049805,Reclamo,PROCEDE PARCIAL,201205,Producto 07,Submotivo 125
0060829,Reclamo,NO PROCEDE,201208,Producto 18,Submotivo 123
0013918,Reclamo,PROCEDE TOTAL,201207,Producto 21,Submotivo 88
0043256,Reclamo,NO PROCEDE,201205,Producto 20,Submotivo 125
0043256,Reclamo,PROCEDE PARCIAL,201205,Producto 20,Submotivo 125
0098199,Reclamo,PROCEDE TOTAL,201208,Producto 20,Submotivo 145
0003067,Solicitud,PROCEDE TOTAL,201208,Producto 20,Submotivo 132
0003067,Reclamo,PROCEDE TOTAL,201208,Producto 18,Submotivo 125
0076777,Solicitud,NO PROCEDE,201205,Producto 20,Submotivo 157
0041573,Solicitud,NO PROCEDE,201204,Producto 20,Submotivo 157
0005292,Reclamo,PROCEDE TOTAL,201204,Producto 07,Submotivo 125
